"_id","replicas","date","cycle"
"ObjectId(""60781ad65e0fe5577e13839b"")",10,"2021-04-15T10:52:06.967Z",35
"ObjectId(""60781b275e0fe5577e13839d"")",10,"2021-04-15T10:53:27.574Z",36
"ObjectId(""60781b6a5e0fe5577e13839f"")",10,"2021-04-15T10:54:34.660Z",36
"ObjectId(""60781bbb5e0fe5577e1383a1"")",10,"2021-04-15T10:55:55.371Z",37
"ObjectId(""60781bbd5e0fe5577e1383a3"")",10,"2021-04-15T10:55:57.857Z",37
"ObjectId(""60781c0e5e0fe5577e1383a5"")",10,"2021-04-15T10:57:18.607Z",38
"ObjectId(""60781c8d5e0fe5577e1383a7"")",10,"2021-04-15T10:59:25.337Z",38
"ObjectId(""60781cde5e0fe5577e1383a9"")",10,"2021-04-15T11:00:46.056Z",39
"ObjectId(""60781ce05e0fe5577e1383ab"")",10,"2021-04-15T11:00:48.663Z",39
"ObjectId(""60781d315e0fe5577e1383ad"")",10,"2021-04-15T11:02:09.408Z",40
"ObjectId(""60781d335e0fe5577e1383af"")",10,"2021-04-15T11:02:11.880Z",40
"ObjectId(""60781d845e0fe5577e1383b1"")",10,"2021-04-15T11:03:32.558Z",41
"ObjectId(""60781dc35e0fe5577e1383b3"")",10,"2021-04-15T11:04:35.509Z",41
"ObjectId(""60781e145e0fe5577e1383b5"")",10,"2021-04-15T11:05:56.195Z",42
"ObjectId(""60781e165e0fe5577e1383b7"")",10,"2021-04-15T11:05:58.814Z",42
"ObjectId(""60781e675e0fe5577e1383b9"")",10,"2021-04-15T11:07:19.531Z",43
"ObjectId(""60781e6a5e0fe5577e1383bb"")",10,"2021-04-15T11:07:22.113Z",43
"ObjectId(""60781eba5e0fe5577e1383bd"")",10,"2021-04-15T11:08:42.865Z",44
"ObjectId(""60781f205e0fe5577e1383bf"")",10,"2021-04-15T11:10:24.760Z",44
"ObjectId(""60781f715e0fe5577e1383c1"")",10,"2021-04-15T11:11:45.381Z",45
"ObjectId(""60781f735e0fe5577e1383c3"")",10,"2021-04-15T11:11:47.843Z",45
"ObjectId(""60781fc45e0fe5577e1383c5"")",10,"2021-04-15T11:13:08.524Z",46
"ObjectId(""60781fc65e0fe5577e1383c7"")",10,"2021-04-15T11:13:10.905Z",46
"ObjectId(""607820175e0fe5577e1383c9"")",10,"2021-04-15T11:14:31.581Z",47
"ObjectId(""607820745e0fe5577e1383cb"")",10,"2021-04-15T11:16:04.723Z",47
"ObjectId(""607820c55e0fe5577e1383cd"")",10,"2021-04-15T11:17:25.428Z",48
"ObjectId(""607820c75e0fe5577e1383cf"")",10,"2021-04-15T11:17:27.871Z",48
"ObjectId(""607821185e0fe5577e1383d1"")",10,"2021-04-15T11:18:48.432Z",49
"ObjectId(""607821a05e0fe5577e1383d3"")",10,"2021-04-15T11:21:04.884Z",49
"ObjectId(""607821f15e0fe5577e1383d5"")",10,"2021-04-15T11:22:25.673Z",50
"ObjectId(""607821f45e0fe5577e1383d7"")",10,"2021-04-15T11:22:28.167Z",50
"ObjectId(""607822445e0fe5577e1383d9"")",10,"2021-04-15T11:23:48.942Z",51
"ObjectId(""607822be5e0fe5577e1383db"")",10,"2021-04-15T11:25:50.578Z",51
"ObjectId(""6078230f5e0fe5577e1383dd"")",10,"2021-04-15T11:27:11.292Z",52
"ObjectId(""607823115e0fe5577e1383df"")",10,"2021-04-15T11:27:13.827Z",52
"ObjectId(""607823625e0fe5577e1383e1"")",10,"2021-04-15T11:28:34.545Z",53
"ObjectId(""607823655e0fe5577e1383e3"")",10,"2021-04-15T11:28:37.099Z",53
"ObjectId(""607823b55e0fe5577e1383e5"")",10,"2021-04-15T11:29:57.753Z",54
"ObjectId(""607823fe5e0fe5577e1383e7"")",10,"2021-04-15T11:31:10.661Z",54
"ObjectId(""6078244f5e0fe5577e1383e9"")",10,"2021-04-15T11:32:31.333Z",55
"ObjectId(""607824515e0fe5577e1383eb"")",10,"2021-04-15T11:32:33.707Z",55
"ObjectId(""607824a25e0fe5577e1383ed"")",10,"2021-04-15T11:33:54.301Z",56
"ObjectId(""607825205e0fe5577e1383ef"")",10,"2021-04-15T11:36:00.716Z",56
"ObjectId(""607825715e0fe5577e1383f1"")",10,"2021-04-15T11:37:21.326Z",57
"ObjectId(""607825735e0fe5577e1383f3"")",10,"2021-04-15T11:37:23.772Z",57
"ObjectId(""607825c45e0fe5577e1383f5"")",10,"2021-04-15T11:38:44.501Z",58
"ObjectId(""607825c65e0fe5577e1383f7"")",10,"2021-04-15T11:38:46.983Z",58
"ObjectId(""607826175e0fe5577e1383f9"")",10,"2021-04-15T11:40:07.685Z",59
"ObjectId(""607826975e0fe5577e1383fb"")",10,"2021-04-15T11:42:15.620Z",59
"ObjectId(""607826e85e0fe5577e1383fd"")",10,"2021-04-15T11:43:36.333Z",60
"ObjectId(""607826ea5e0fe5577e1383ff"")",10,"2021-04-15T11:43:38.889Z",60
"ObjectId(""6078273b5e0fe5577e138401"")",10,"2021-04-15T11:44:59.515Z",61
"ObjectId(""6078273e5e0fe5577e138403"")",10,"2021-04-15T11:45:02.073Z",61
"ObjectId(""6078278e5e0fe5577e138405"")",10,"2021-04-15T11:46:22.851Z",62
"ObjectId(""607827c35e0fe5577e138407"")",10,"2021-04-15T11:47:15.675Z",62
"ObjectId(""607828145e0fe5577e138409"")",10,"2021-04-15T11:48:36.296Z",63
"ObjectId(""607828165e0fe5577e13840b"")",10,"2021-04-15T11:48:38.963Z",63
"ObjectId(""607828675e0fe5577e13840d"")",10,"2021-04-15T11:49:59.545Z",64
"ObjectId(""6078286a5e0fe5577e13840f"")",10,"2021-04-15T11:50:02.029Z",64
"ObjectId(""607828ba5e0fe5577e138411"")",10,"2021-04-15T11:51:22.753Z",65
"ObjectId(""6078290d5e0fe5577e138413"")",10,"2021-04-15T11:52:45.774Z",65
"ObjectId(""6078295e5e0fe5577e138415"")",10,"2021-04-15T11:54:06.491Z",66
"ObjectId(""607829605e0fe5577e138417"")",10,"2021-04-15T11:54:08.949Z",66
"ObjectId(""607829b15e0fe5577e138419"")",10,"2021-04-15T11:55:29.667Z",67
"ObjectId(""607829b45e0fe5577e13841b"")",10,"2021-04-15T11:55:32.250Z",67
"ObjectId(""60782a045e0fe5577e13841d"")",10,"2021-04-15T11:56:52.919Z",68
"ObjectId(""60782a6a5e0fe5577e13841f"")",10,"2021-04-15T11:58:34.823Z",68
"ObjectId(""60782abb5e0fe5577e138421"")",10,"2021-04-15T11:59:55.460Z",69
"ObjectId(""60782abd5e0fe5577e138423"")",10,"2021-04-15T11:59:57.871Z",69
"ObjectId(""60782b0e5e0fe5577e138425"")",10,"2021-04-15T12:01:18.561Z",70
"ObjectId(""60782b115e0fe5577e138427"")",10,"2021-04-15T12:01:21.183Z",70
"ObjectId(""60782b615e0fe5577e138429"")",10,"2021-04-15T12:02:41.860Z",71
"ObjectId(""60782bab5e0fe5577e13842b"")",10,"2021-04-15T12:03:55.941Z",71
"ObjectId(""60782bfc5e0fe5577e13842d"")",10,"2021-04-15T12:05:16.889Z",72
"ObjectId(""60782bff5e0fe5577e13842f"")",10,"2021-04-15T12:05:19.417Z",72
"ObjectId(""60782c505e0fe5577e138431"")",10,"2021-04-15T12:06:40.061Z",73
"ObjectId(""60782c525e0fe5577e138433"")",10,"2021-04-15T12:06:42.595Z",73
"ObjectId(""60782d205e0fe5577e138435"")",10,"2021-04-15T12:10:08.809Z",74
"ObjectId(""60782d235e0fe5577e138437"")",10,"2021-04-15T12:10:11.151Z",74
"ObjectId(""60782d735e0fe5577e138439"")",10,"2021-04-15T12:11:31.767Z",75
"ObjectId(""60782d765e0fe5577e13843b"")",10,"2021-04-15T12:11:34.294Z",75
"ObjectId(""60782dc65e0fe5577e13843d"")",10,"2021-04-15T12:12:54.881Z",76
"ObjectId(""60782e265e0fe5577e13843f"")",10,"2021-04-15T12:14:30.716Z",76
"ObjectId(""60782e775e0fe5577e138441"")",10,"2021-04-15T12:15:51.429Z",77
"ObjectId(""60782e795e0fe5577e138443"")",10,"2021-04-15T12:15:53.877Z",77
"ObjectId(""60782eca5e0fe5577e138445"")",10,"2021-04-15T12:17:14.520Z",78
"ObjectId(""60782ecd5e0fe5577e138447"")",10,"2021-04-15T12:17:17.105Z",78
"ObjectId(""60782f1d5e0fe5577e138449"")",10,"2021-04-15T12:18:37.895Z",79
"ObjectId(""60782f845e0fe5577e13844b"")",10,"2021-04-15T12:20:20.522Z",79
"ObjectId(""60782fd55e0fe5577e13844d"")",10,"2021-04-15T12:21:41.122Z",80
"ObjectId(""60782fd75e0fe5577e13844f"")",10,"2021-04-15T12:21:43.540Z",80
