"_id","replicas","date","cycle"
"ObjectId(""60784e5d9c6003df188c575d"")",10,"2021-04-15T14:31:57.439Z",1
"ObjectId(""60784e609c6003df188c575f"")",10,"2021-04-15T14:32:00.039Z",1
"ObjectId(""60784eb09c6003df188c5761"")",10,"2021-04-15T14:33:20.988Z",2
"ObjectId(""60784eb39c6003df188c5763"")",10,"2021-04-15T14:33:23.522Z",2
"ObjectId(""60784f049c6003df188c5765"")",10,"2021-04-15T14:34:44.294Z",3
"ObjectId(""60784f069c6003df188c5767"")",10,"2021-04-15T14:34:46.832Z",3
"ObjectId(""60784f579c6003df188c5769"")",10,"2021-04-15T14:36:07.673Z",4
"ObjectId(""60784f5a9c6003df188c576b"")",10,"2021-04-15T14:36:10.145Z",4
"ObjectId(""60784faa9c6003df188c576d"")",10,"2021-04-15T14:37:30.916Z",5
"ObjectId(""60784fad9c6003df188c576f"")",10,"2021-04-15T14:37:33.492Z",5
"ObjectId(""607850799c6003df188c5771"")",10,"2021-04-15T14:40:57.899Z",6
"ObjectId(""6078507c9c6003df188c5773"")",10,"2021-04-15T14:41:00.418Z",6
"ObjectId(""607850cd9c6003df188c5775"")",10,"2021-04-15T14:42:21.219Z",7
"ObjectId(""607850cf9c6003df188c5777"")",10,"2021-04-15T14:42:23.801Z",7
"ObjectId(""607851209c6003df188c5779"")",10,"2021-04-15T14:43:44.593Z",8
"ObjectId(""607851759c6003df188c577b"")",10,"2021-04-15T14:45:09.569Z",8
"ObjectId(""607851c69c6003df188c577d"")",10,"2021-04-15T14:46:30.476Z",9
"ObjectId(""607851c89c6003df188c577f"")",10,"2021-04-15T14:46:32.927Z",9
"ObjectId(""607852199c6003df188c5781"")",10,"2021-04-15T14:47:53.690Z",10
"ObjectId(""6078521c9c6003df188c5783"")",10,"2021-04-15T14:47:56.059Z",10
"ObjectId(""6078526c9c6003df188c5785"")",10,"2021-04-15T14:49:16.828Z",11
"ObjectId(""607852959c6003df188c5787"")",10,"2021-04-15T14:49:57.850Z",11
"ObjectId(""607852e69c6003df188c5789"")",10,"2021-04-15T14:51:18.690Z",12
"ObjectId(""607852e99c6003df188c578b"")",10,"2021-04-15T14:51:21.059Z",12
"ObjectId(""607853399c6003df188c578d"")",10,"2021-04-15T14:52:41.849Z",13
"ObjectId(""6078533c9c6003df188c578f"")",10,"2021-04-15T14:52:44.167Z",13
"ObjectId(""6078538c9c6003df188c5791"")",10,"2021-04-15T14:54:04.916Z",14
"ObjectId(""607853d79c6003df188c5793"")",10,"2021-04-15T14:55:19.736Z",14
"ObjectId(""607854289c6003df188c5795"")",10,"2021-04-15T14:56:40.491Z",15
"ObjectId(""6078542a9c6003df188c5797"")",10,"2021-04-15T14:56:42.862Z",15
"ObjectId(""6078547b9c6003df188c5799"")",10,"2021-04-15T14:58:03.679Z",16
"ObjectId(""6078547e9c6003df188c579b"")",10,"2021-04-15T14:58:06.058Z",16
"ObjectId(""607854ce9c6003df188c579d"")",10,"2021-04-15T14:59:26.828Z",17
"ObjectId(""6078551f9c6003df188c579f"")",10,"2021-04-15T15:00:47.906Z",17
"ObjectId(""607855709c6003df188c57a1"")",10,"2021-04-15T15:02:08.667Z",18
"ObjectId(""607855739c6003df188c57a3"")",10,"2021-04-15T15:02:11.119Z",18
"ObjectId(""607855c39c6003df188c57a5"")",10,"2021-04-15T15:03:31.921Z",19
"ObjectId(""607855c69c6003df188c57a7"")",10,"2021-04-15T15:03:34.331Z",19
"ObjectId(""607856179c6003df188c57a9"")",10,"2021-04-15T15:04:55.122Z",20
"ObjectId(""6078567d9c6003df188c57ab"")",10,"2021-04-15T15:06:37.360Z",20
