"_id","requests","concurrent_users","arrival_rate","response_time","data_payload","predicted_p_s","predicted_W","predicted_gamma","date","cycle"
"ObjectId(""5f68731ca3e9079669d24762"")",300,30,86.28,347.708,589,0.0027724183298104667,5.47861195866544,4.181724295361604,"2020-09-21T09:32:12.336Z",921
"ObjectId(""5f6872daa3e9079669d24761"")",400,50,88.44,565.387,589,,,,"2020-09-21T09:31:06.434Z",920
"ObjectId(""5f6871f2a3e9079669d24760"")",1000,100,83.04,1204.311,589,0.0027486579145874148,4.412685510295535,4.107787355204473,"2020-09-21T09:27:14.424Z",919
"ObjectId(""5f6871a7a3e9079669d2475f"")",20,5,80.12,62.407,589,0.002297278726051847,2.9436568122306794,3.516408114621353,"2020-09-21T09:25:59.707Z",918
"ObjectId(""5f6870e1a3e9079669d2475e"")",100,20,77.76,257.199,589,0.0021806455695144197,2.5596572987448534,3.3191398420375315,"2020-09-21T09:22:41.386Z",917
"ObjectId(""5f6870a1a3e9079669d2475d"")",100,10,87.69,114.032,589,0.002824093722887812,4.693197319222331,4.167329279717922,"2020-09-21T09:21:37.025Z",916
"ObjectId(""5f687061a3e9079669d2475c"")",160,20,80.29,249.092,589,0.0026904625472067615,5.492232785825113,4.333585769034022,"2020-09-21T09:20:33.128Z",915
"ObjectId(""5f686fb8a3e9079669d2475b"")",300,30,88.52,338.907,589,0.002686692449705478,5.72135606591692,4.049412293067888,"2020-09-21T09:17:44.771Z",914
"ObjectId(""5f686f76a3e9079669d2475a"")",400,50,85.83,582.542,589,0.002467684020584119,3.3377128021811915,3.6843784712131824,"2020-09-21T09:16:38.341Z",913
"ObjectId(""5f686f32a3e9079669d24759"")",1000,100,87.83,1138.534,589,0.0027873628977798603,5.682955173693143,4.155363591102099,"2020-09-21T09:15:30.382Z",912
"ObjectId(""5f686e6ea3e9079669d24758"")",20,5,79.3,63.052,589,0.0028382282288353963,4.436523454508589,4.1923165492768915,"2020-09-21T09:12:14.521Z",911
"ObjectId(""5f686e2fa3e9079669d24757"")",100,20,85.48,233.978,589,0.002201672186406765,4.91772523030262,3.4250420417095637,"2020-09-21T09:11:11.776Z",910
"ObjectId(""5f686df0a3e9079669d24756"")",100,10,91,109.884,589,0.0027766778897165513,4.600244975351859,4.095576473438851,"2020-09-21T09:10:08.126Z",909
"ObjectId(""5f686d2fa3e9079669d24755"")",160,20,89.35,223.832,589,0.002819331253139659,4.9044206304160305,4.149950310514681,"2020-09-21T09:06:55.328Z",908
"ObjectId(""5f686ceea3e9079669d24754"")",300,30,86.85,345.406,589,0.002769620982324668,4.773595432671716,4.2061568431357825,"2020-09-21T09:05:50.231Z",907
"ObjectId(""5f686caba3e9079669d24753"")",400,50,82.3,607.551,589,0.0026712735929266145,3.764922064424343,4.023203129797848,"2020-09-21T09:04:43.783Z",906
"ObjectId(""5f686bd8a3e9079669d24752"")",1000,100,87.19,1146.965,589,0.0028540352897755985,4.866693615582053,4.205940921946167,"2020-09-21T09:01:12.586Z",905
"ObjectId(""5f686b8ea3e9079669d24751"")",20,5,72.47,68.997,589,,,,"2020-09-21T08:59:58.546Z",904
"ObjectId(""5f686b4aa3e9079669d24750"")",100,20,86.94,230.031,589,0.002226081145195148,4.603417420159524,3.487017530699116,"2020-09-21T08:58:50.145Z",903
"ObjectId(""5f686a75a3e9079669d2474f"")",100,10,91.82,108.91,589,0.002654991259199447,5.613434942176378,4.283996918082568,"2020-09-21T08:55:17.292Z",902
"ObjectId(""5f686a34a3e9079669d2474e"")",160,20,88.01,227.241,589,0.002657580601595921,5.200577420790168,3.950872192783736,"2020-09-21T08:54:12.740Z",901
"ObjectId(""5f6869f4a3e9079669d2474d"")",300,30,86.11,348.372,589,0.0021273785332291107,4.199507442129454,3.27077285311734,"2020-09-21T08:53:08.393Z",900
"ObjectId(""5f686938a3e9079669d2474c"")",400,50,87.94,568.549,589,0.002557093812605297,4.974522290096097,4.134633682790313,"2020-09-21T08:50:00.184Z",899
"ObjectId(""5f6868f3a3e9079669d2474b"")",1000,100,83.64,1195.6,589,0.002824534577867682,5.024854645868296,4.283662637758686,"2020-09-21T08:48:51.186Z",898
"ObjectId(""5f6868a7a3e9079669d2474a"")",20,5,73.88,67.673,589,0.00258710237953579,3.446874764311884,3.960615196259293,"2020-09-21T08:47:35.982Z",897
"ObjectId(""5f6867e0a3e9079669d24749"")",100,20,87.61,228.286,589,0.0027557805856375664,7.55513555462109,4.288359240545342,"2020-09-21T08:44:16.843Z",896
"ObjectId(""5f6867a0a3e9079669d24748"")",100,10,89.7,111.478,589,0.002078703796103856,2.938861853656049,3.343560597523271,"2020-09-21T08:43:12.515Z",895
"ObjectId(""5f68675ea3e9079669d24747"")",160,20,83.29,240.118,589,0.0029017789805184336,5.319032138273062,4.3015273605056,"2020-09-21T08:42:06.807Z",894
"ObjectId(""5f68669ba3e9079669d24746"")",300,30,80.72,371.657,589,0.0025198426177283047,3.1436190109909035,3.7421163284421914,"2020-09-21T08:38:51.455Z",893
"ObjectId(""5f686658a3e9079669d24745"")",400,50,84.72,590.181,589,0.002434734658966134,4.695001782919084,4.169895772490704,"2020-09-21T08:37:44.348Z",892
"ObjectId(""5f686615a3e9079669d24744"")",1000,100,87.52,1142.631,589,,,,"2020-09-21T08:36:37.006Z",891
"ObjectId(""5f686547a3e9079669d24743"")",20,5,85.35,58.584,589,0.0023047736559245117,3.150467784057514,3.500927659252698,"2020-09-21T08:33:11.163Z",890
"ObjectId(""5f686507a3e9079669d24742"")",100,20,89.41,223.69,589,0.0028673092861951337,5.268475822956141,4.2224456335011915,"2020-09-21T08:32:07.626Z",889
"ObjectId(""5f6864c7a3e9079669d24741"")",100,10,83.95,119.124,589,0.0027969186043513786,4.459317464452072,4.170210292601578,"2020-09-21T08:31:03.162Z",888
"ObjectId(""5f686404a3e9079669d24740"")",160,20,87.08,229.663,589,0.002649935638396274,3.878231803871776,3.9165107152591228,"2020-09-21T08:27:48.553Z",887
"ObjectId(""5f6863c2a3e9079669d2473f"")",300,30,83.75,358.206,589,0.0025323416774244044,4.776043728766958,4.2110319882968215,"2020-09-21T08:26:42.038Z",886
"ObjectId(""5f68637fa3e9079669d2473e"")",400,50,86.31,579.298,589,0.0022366892355829655,2.958305363532901,3.3725067027870503,"2020-09-21T08:25:35.323Z",885
"ObjectId(""5f6862c4a3e9079669d2473d"")",1000,100,83.64,1195.579,589,0.002824534577867682,5.024854645868296,4.283662637758686,"2020-09-21T08:22:28.357Z",884
"ObjectId(""5f686279a3e9079669d2473c"")",20,5,66.75,74.906,589,0.0027312548424375054,3.5588734239952537,4.123635830594429,"2020-09-21T08:21:13.807Z",883
"ObjectId(""5f68623aa3e9079669d2473b"")",100,20,80.58,248.208,589,0.002504971282322298,3.6057288355049733,3.955383571932598,"2020-09-21T08:20:10.229Z",882
"ObjectId(""5f68616aa3e9079669d2473a"")",100,10,84.38,118.512,589,0.0027468742326130845,6.408232094787149,4.353048336536765,"2020-09-21T08:16:42.908Z",881
"ObjectId(""5f68612aa3e9079669d24739"")",160,20,84.59,236.422,589,0.002647220745692183,3.930120152082415,4.004722157445176,"2020-09-21T08:15:38.559Z",880
"ObjectId(""5f6860eaa3e9079669d24738"")",300,30,85.75,349.857,589,,,,"2020-09-21T08:14:34.154Z",879
"ObjectId(""5f68601ca3e9079669d24737"")",400,50,88.31,566.165,589,0.0027210726053274814,5.21956988796436,4.142199018003557,"2020-09-21T08:11:08.373Z",878
"ObjectId(""5f685fd8a3e9079669d24736"")",1000,100,86.15,1160.728,589,0.002188746892508416,4.752786304804171,3.2835846830547935,"2020-09-21T08:10:00.337Z",877
