"_id","requests","concurrent_users","arrival_rate","response_time","data_payload","predicted_p_s","predicted_W","predicted_gamma","date","cycle"
"ObjectId(""5f68713a0d49eb3abc63239b"")",1000,100,82.53,1211.748,589,0.0020816910549684544,5.1641091266311365,4.202649420547928,"2020-09-21T09:24:10.386Z",870
"ObjectId(""5f6870ed0d49eb3abc63239a"")",20,5,91.59,54.592,589,0.0020798549782945585,6.18478021387929,4.024567182192702,"2020-09-21T09:22:53.578Z",869
"ObjectId(""5f6870ae0d49eb3abc632399"")",100,20,85.9,232.817,589,0.002097588279049721,4.577559741779758,3.9998883691595513,"2020-09-21T09:21:50.876Z",868
"ObjectId(""5f686fed0d49eb3abc632398"")",100,10,92.97,107.566,589,0.0020826175010779414,4.3762999828373905,3.94240385428633,"2020-09-21T09:18:37.584Z",867
"ObjectId(""5f686fad0d49eb3abc632397"")",160,20,94.31,212.056,589,0.0021442468033702456,6.36610485138133,4.338603646972747,"2020-09-21T09:17:33.398Z",866
"ObjectId(""5f686f690d49eb3abc632396"")",300,30,88.93,337.35,589,0.0021069447428653295,7.174454987913694,4.336337825500305,"2020-09-21T09:16:25.994Z",865
"ObjectId(""5f686ec10d49eb3abc632395"")",400,50,84.9,588.92,589,0.0021953979620158767,4.153729727607481,4.063791104254843,"2020-09-21T09:13:37.674Z",864
"ObjectId(""5f686e7b0d49eb3abc632394"")",1000,100,86.39,1157.528,589,0.002080491609302137,5.724113583157613,4.204216626827994,"2020-09-21T09:12:27.366Z",863
"ObjectId(""5f686e300d49eb3abc632393"")",20,5,72.89,68.6,589,0.00207712427560225,2.312647074475426,3.517447751758737,"2020-09-21T09:11:12.810Z",862
"ObjectId(""5f686d6c0d49eb3abc632392"")",100,20,88.57,225.8,589,0.0020825556215252334,5.341788419961213,4.058962919754381,"2020-09-21T09:07:56.400Z",861
"ObjectId(""5f686d2a0d49eb3abc632391"")",100,10,96.09,104.073,589,0.002139212959628075,7.127713547136011,4.38060031457617,"2020-09-21T09:06:50.848Z",860
"ObjectId(""5f686cea0d49eb3abc632390"")",160,20,91.57,218.405,589,0.0021070103853644533,5.987650604105184,3.9820738261332793,"2020-09-21T09:05:46.875Z",859
"ObjectId(""5f686c340d49eb3abc63238f"")",300,30,92.95,322.764,589,0.0021320176776864286,6.275565820545484,4.367258902436138,"2020-09-21T09:02:44.293Z",858
"ObjectId(""5f686bf20d49eb3abc63238e"")",400,50,90.53,552.283,589,0.002152977017884207,5.22203108199461,4.252280731950905,"2020-09-21T09:01:38.382Z",857
"ObjectId(""5f686baf0d49eb3abc63238d"")",1000,100,89.81,1113.49,589,0.002079100288688434,5.055762547483134,4.225764751081031,"2020-09-21T09:00:31.390Z",856
"ObjectId(""5f686ad90d49eb3abc63238c"")",20,5,73.27,68.243,589,0.002125638436559962,5.128745277285524,4.209827251363978,"2020-09-21T08:56:57.470Z",855
"ObjectId(""5f686a9a0d49eb3abc63238b"")",100,20,76.71,260.709,589,0.0020827144092730137,4.00199552648347,4.019941195798012,"2020-09-21T08:55:54.546Z",854
"ObjectId(""5f686a5a0d49eb3abc63238a"")",100,10,80.19,124.703,589,0.002086206068653438,4.837278129856923,4.256850596031939,"2020-09-21T08:54:50.658Z",853
"ObjectId(""5f68698c0d49eb3abc632389"")",160,20,87.53,228.49,589,,,,"2020-09-21T08:51:24.904Z",852
"ObjectId(""5f6869460d49eb3abc632388"")",300,30,91.66,327.314,589,0.002085915345387049,4.990020217940862,4.160704467871116,"2020-09-21T08:50:14.802Z",851
"ObjectId(""5f6869040d49eb3abc632387"")",400,50,88.38,565.769,589,0.002156842373524859,6.75715580228536,4.122350735967375,"2020-09-21T08:49:08.880Z",850
"ObjectId(""5f6868500d49eb3abc632386"")",1000,100,87.89,1137.784,589,0.0021571941501935268,6.641480884005799,4.306589090209914,"2020-09-21T08:46:08.734Z",849
"ObjectId(""5f6868060d49eb3abc632385"")",20,5,92.85,53.852,589,0.0021091252053422843,4.308353472181833,4.024632530712736,"2020-09-21T08:44:54.714Z",848
"ObjectId(""5f6867c70d49eb3abc632384"")",100,20,78.61,254.433,589,0.002109050423843932,4.517528477520665,4.218216301637017,"2020-09-21T08:43:51.481Z",847
"ObjectId(""5f68670f0d49eb3abc632383"")",100,10,96.49,103.638,589,0.0021397516561885983,6.2615213311353735,4.212132769359545,"2020-09-21T08:40:47.865Z",846
"ObjectId(""5f6866cf0d49eb3abc632382"")",160,20,90.86,220.128,589,0.002138983682164112,5.562179595433059,4.080687989166902,"2020-09-21T08:39:43.378Z",845
"ObjectId(""5f68668e0d49eb3abc632381"")",300,30,92.02,326.012,589,0.0020766827215404123,4.505114323224523,3.9579852188333358,"2020-09-21T08:38:38.544Z",844
"ObjectId(""5f6865cc0d49eb3abc632380"")",400,50,89.58,558.146,589,0.0021695468882598186,7.019810881725821,4.238843501392788,"2020-09-21T08:35:24.379Z",843
"ObjectId(""5f6865890d49eb3abc63237f"")",1000,100,90.2,1108.704,589,0.002077493974864702,4.9286785800512245,3.915224850728286,"2020-09-21T08:34:17.356Z",842
"ObjectId(""5f68653f0d49eb3abc63237e"")",20,5,92.47,54.074,589,0.0020806319463643136,4.4395542403516535,3.9245767581052755,"2020-09-21T08:33:03.399Z",841
